日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
いかく,Intimidate,Intimidation,Bedroher,Prepotenza,Intimidación,위협,威吓,威嚇
かげふみ,Shadow Tag,Marque Ombre,Wegsperre,Pedinombra,Sombra Trampa,그림자밟기,踩影,踩影
さめはだ,Rough Skin,Peau Dure,Rauhaut,Cartavetro,Piel Tosca,까칠한피부,粗糙皮肤,粗糙皮膚
ふしぎなまもり,Wonder Guard,Garde Mystik,Wunderwache,Magidifesa,Superguarda,불가사의부적,神奇守护,神奇守護
ふゆう,Levitate,Lévitation,Schwebe,Levitazione,Levitación,부유,飘浮,飄浮
ほうし,Effect Spore,Pose Spore,Sporenwirt,Spargispora,Efecto Espora,포자,孢子,孢子
シンクロ,Synchronize,Synchro,Synchro,Sincronismo,Sincronía,싱크로,同步,同步
クリアボディ,Clear Body,Corps Sain,Neutraltorso,Corpochiaro,Cuerpo Puro,클리어바디,恒净之躯,恆淨之軀
しぜんかいふく,Natural Cure,Médic Nature,Innere Kraft,Alternacura,Cura Natural,자연회복,自然回复,自然回復
ひらいしん,Lightning Rod,Paratonnerre,Blitzfänger,Parafulmine,Pararrayos,피뢰침,避雷针,避雷針
てんのめぐみ,Serene Grace,Sérénité,Edelmut,Leggiadro,Dicha,하늘의은총,天恩,天恩
すいすい,Swift Swim,Glissade,Wassertempo,Nuotovelox,Nado Rápido,쓱쓱,悠游自如,悠游自如
ようりょくそ,Chlorophyll,Chlorophylle,Chlorophyll,Clorofilla,Clorofila,엽록소,叶绿素,葉綠素
はっこう,Illuminate,Lumiattirance,Erleuchtung,Risplendi,Iluminación,발광,发光,發光
トレース,Trace,Calque,Fährte,Traccia,Rastro,트레이스,复制,複製
ちからもち,Huge Power,Coloforce,Kraftkoloss,Macroforza,Potencia,천하장사,大力士,大力士
どくのトゲ,Poison Point,Point Poison,Giftdorn,Velenopunto,Punto Tóxico,독가시,毒刺,毒刺
せいしんりょく,Inner Focus,Attention,Konzentrator,Forza Interiore,Foco Interno,정신력,精神力,精神力
マグマのよろい,Magma Armor,Armumagma,Magmapanzer,Magmascudo,Escudo Magma,마그마의무장,熔岩铠甲,熔岩鎧甲
みずのベール,Water Veil,Ignifu-Voile,Aquahülle,Idrovelo,Velo Agua,수의베일,水幕,水幕
じりょく,Magnet Pull,Magnépiège,Magnetfalle,Magnetismo,Imán,자력,磁力,磁力
ぼうおん,Soundproof,Anti-Bruit,Lärmschutz,Antisuono,Insonorizar,방음,隔音,隔音
あめうけざら,Rain Dish,Cuvette,Regengenuss,Copripioggia,Cura Lluvia,젖은접시,雨盘,雨盤
すなおこし,Sand Stream,Sable Volant,Sandsturm,Sabbiafiume,Chorro Arena,모래날림,扬沙,揚沙
プレッシャー,Pressure,Pression,Erzwinger,Pressione,Presión,프레셔,压迫感,壓迫感
あついしぼう,Thick Fat,Isograisse,Speckschicht,Grassospesso,Sebo,두꺼운지방,厚脂肪,厚脂肪
はやおき,Early Bird,Matinal,Frühwecker,Sveglialampo,Madrugar,일찍기상,早起,早起
ほのおのからだ,Flame Body,Corps Ardent,Flammkörper,Corpodifuoco,Cuerpo Llama,불꽃몸,火焰之躯,火焰之軀
にげあし,Run Away,Fuite,Angsthase,Fugafacile,Fuga,도주,逃跑,逃跑
するどいめ,Keen Eye,Regard Vif,Adlerauge,Sguardofermo,Vista Lince,날카로운눈,锐利目光,銳利目光
かいりきバサミ,Hyper Cutter,Hyper Cutter,Scherenmacht,Ipertaglio,Corte Fuerte,괴력집게,怪力钳,怪力鉗
ものひろい,Pickup,Ramassage,Mitnahme,Raccolta,Recogida,픽업,捡拾,撿拾
なまけ,Truant,Absentéisme,Schnarchnase,Pigrone,Ausente,게으름,懒惰,懶惰
はりきり,Hustle,Agitation,Übereifer,Tuttafretta,Entusiasmo,의욕,活力,活力
メロメロボディ,Cute Charm,Joli Sourire,Charmebolzen,Incantevole,Gran Encanto,헤롱헤롱바디,迷人之躯,迷人之軀
プラス,Plus,Plus,Plus,Più,Más,플러스,正电,正電
マイナス,Minus,Minus,Minus,Meno,Menos,마이너스,负电,負電
てんきや,Forecast,Météo,Prognose,Previsioni,Predicción,기분파,阴晴不定,陰晴不定
ねんちゃく,Sticky Hold,Glue,Wertehalter,Antifurto,Viscosidad,점착,黏着,黏著
だっぴ,Shed Skin,Mue,Expidermis,Muta,Mudar,탈피,蜕皮,蛻皮
こんじょう,Guts,Cran,Adrenalin,Dentistretti,Agallas,근성,毅力,毅力
ふしぎなうろこ,Marvel Scale,Écaille Spéciale,Notschutz,Pelledura,Escama Especial,이상한비늘,神奇鳞片,神奇鱗片
ヘドロえき,Liquid Ooze,Suintement,Kloakensoße,Melma,Lodo Líquido,해감액,污泥浆,污泥漿
しんりょく,Overgrow,Engrais,Notdünger,Erbaiuto,Espesura,심록,茂盛,茂盛
もうか,Blaze,Brasier,Großbrand,Aiutofuoco,Mar Llamas,맹화,猛火,猛火
げきりゅう,Torrent,Torrent,Sturzbach,Acquaiuto,Torrente,급류,激流,激流
むしのしらせ,Swarm,Essaim,Hexaplaga,Aiutinsetto,Enjambre,벌레의알림,虫之预感,蟲之預感
いしあたま,Rock Head,Tête de Roc,Steinhaupt,Testadura,Cabeza Roca,돌머리,坚硬脑袋,堅硬腦袋
ひでり,Drought,Sécheresse,Dürre,Siccità,Sequía,가뭄,日照,日照
ありじごく,Arena Trap,Piège Sable,Ausweglos,Trappoarena,Trampa Arena,개미지옥,沙穴,沙穴
やるき,Vital Spirit,Esprit Vital,Munterkeit,Spiritovivo,Espíritu Vital,의기양양,干劲,幹勁
しろいけむり,White Smoke,Écran Fumée,Pulverrauch,Fumochiaro,Humo Blanco,하얀연기,白色烟雾,白色煙霧
ヨガパワー,Pure Power,Force Pure,Mentalkraft,Forzapura,Energía Pura,순수한힘,瑜伽之力,瑜伽之力
シェルアーマー,Shell Armor,Coque Armure,Panzerhaut,Guscioscudo,Caparazón,조가비갑옷,硬壳盔甲,硬殼盔甲
エアロック,Air Lock,Air Lock,Klimaschutz,Riparo,Bucle Aire,에어록,气闸,氣閘
ちどりあし,Tangled Feet,Pieds Confus,Fußangel,Intricopiedi,Tumbos,갈지자걸음,蹒跚,蹣跚
でんきエンジン,Motor Drive,Motorisé,Starthilfe,Elettrorapid,Electromotor,전기엔진,电气引擎,電氣引擎
とうそうしん,Rivalry,Rivalité,Rivalität,Antagonismo,Rivalidad,투쟁심,斗争心,鬥爭心
ふくつのこころ,Steadfast,Impassible,Felsenfest,Cuordeciso,Impasible,불굴의마음,不屈之心,不屈之心
ゆきがくれ,Snow Cloak,Rideau Neige,Schneemantel,Mantelneve,Manto Níveo,눈숨기,雪隐,雪隱
くいしんぼう,Gluttony,Gloutonnerie,Völlerei,Voracità,Gula,먹보,贪吃鬼,貪吃鬼
いかりのつぼ,Anger Point,Colérique,Kurzschluss,Grancollera,Irascible,분노의경혈,愤怒穴位,憤怒穴位
かるわざ,Unburden,Délestage,Entlastung,Agiltecnica,Liviano,곡예,轻装,輕裝
たいねつ,Heatproof,Ignifugé,Hitzeschutz,Antifuoco,Ignífugo,내열,耐热,耐熱
たんじゅん,Simple,Simple,Wankelmut,Disinvoltura,Simple,단순,单纯,單純
かんそうはだ,Dry Skin,Peau Sèche,Trockenheit,Pellearsa,Piel Seca,건조피부,干燥皮肤,乾燥皮膚
ダウンロード,Download,Télécharge,Download,Download,Descarga,다운로드,下载,下載
てつのこぶし,Iron Fist,Poing de Fer,Eisenfaust,Ferropugno,Puño Férreo,철주먹,铁拳,鐵拳
ポイズンヒール,Poison Heal,Soin Poison,Aufheber,Velencura,Antídoto,포이즌힐,毒疗,毒療
てきおうりょく,Adaptability,Adaptabilité,Anpassung,Adattabilità,Adaptable,적응력,适应力,適應力
スキルリンク,Skill Link,Multi-Coups,Wertelink,Abillegame,Encadenado,스킬링크,连续攻击,連續攻擊
うるおいボディ,Hydration,Hydratation,Hydration,Idratazione,Hidratación,촉촉바디,湿润之躯,濕潤之軀
サンパワー,Solar Power,Force Soleil,Solarkraft,Solarpotere,Poder Solar,선파워,太阳之力,太陽之力
はやあし,Quick Feet,Pied Véloce,Rasanz,Piedisvelti,Pies Rápidos,속보,飞毛腿,飛毛腿
ノーマルスキン,Normalize,Normalise,Regulierung,Normalità,Normalidad,노말스킨,一般皮肤,一般皮膚
スナイパー,Sniper,Sniper,Superschütze,Cecchino,Francotirador,스나이퍼,狙击手,狙擊手
マジックガード,Magic Guard,Garde Magik,Magieschild,Magicscudo,Muro Mágico,매직가드,魔法防守,魔法防守
ノーガード,No Guard,Annule Garde,Schildlos,Nullodifesa,Indefenso,노가드,无防守,無防守
あとだし,Stall,Frein,Zeitspiel,Rallentatore,Rezagado,시간벌기,慢出,慢出
テクニシャン,Technician,Technicien,Techniker,Tecnico,Experto,테크니션,技术高手,技術高手
リーフガード,Leaf Guard,Feuille Garde,Floraschild,Fogliamanto,Defensa Hoja,리프가드,叶子防守,葉子防守
ぶきよう,Klutz,Maladresse,Tollpatsch,Impaccio,Zoquete,서투름,笨拙,笨拙
かたやぶり,Mold Breaker,Brise Moule,Überbrückung,Rompiforma,Rompemoldes,틀깨기,破格,破格
きょううん,Super Luck,Chanceux,Glückspilz,Supersorte,Afortunado,대운,超幸运,超幸運
ゆうばく,Aftermath,Boom Final,Finalschlag,Scoppio,Resquicio,유폭,引爆,引爆
きけんよち,Anticipation,Anticipation,Vorahnung,Presagio,Anticipación,위험예지,危险预知,危險預知
よちむ,Forewarn,Prédiction,Vorwarnung,Premonizione,Alerta,예지몽,预知梦,預知夢
てんねん,Unaware,Inconscient,Unkenntnis,Imprudenza,Ignorante,천진,纯朴,純樸
いろめがね,Tinted Lens,Lentiteintée,Aufwertung,Lentifumé,Cromolente,색안경,有色眼镜,有色眼鏡
フィルター,Filter,Filtre,Filter,Filtro,Filtro,필터,过滤,過濾
スロースタート,Slow Start,Début Calme,Saumselig,Lentoinizio,Inicio Lento,슬로스타트,慢启动,慢啟動
きもったま,Scrappy,Querelleur,Rauflust,Nervisaldi,Intrépido,배짱,胆量,膽量
よびみず,Storm Drain,Lavabo,Sturmsog,Acquascolo,Colector,마중물,引水,引水
アイスボディ,Ice Body,Corps Gel,Eishaut,Corpogelo,Gélido,아이스바디,冰冻之躯,冰凍之軀
ハードロック,Solid Rock,Solide Roc,Felskern,Solidroccia,Roca Sólida,하드록,坚硬岩石,堅硬岩石
ゆきふらし,Snow Warning,Alerte Neige,Hagelalarm,Scendineve,Nevada,눈퍼뜨리기,降雪,降雪
みつあつめ,Honey Gather,Cherche Miel,Honigmaul,Mielincetta,Recogemiel,꿀모으기,采蜜,採蜜
おみとおし,Frisk,Fouille,Schnüffler,Indagine,Cacheo,통찰,察觉,察覺
すてみ,Reckless,Téméraire,Achtlos,Temerarietà,Audaz,이판사판,舍身,捨身
マルチタイプ,Multitype,Multi-Type,Variabilität,Multitipo,Multitipo,멀티타입,多属性,多屬性
フラワーギフト,Flower Gift,Don Floral,Pflanzengabe,Regalfiore,Don Floral,플라워기프트,花之礼,花之禮
ナイトメア,Bad Dreams,Mauvais Rêve,Alptraum,Sogniamari,Mal Sueño,나이트메어,梦魇,夢魘
わるいてぐせ,Pickpocket,Pickpocket,Langfinger,Arraffalesto,Hurto,나쁜손버릇,顺手牵羊,順手牽羊
ちからずく,Sheer Force,Sans Limite,Rohe Gewalt,Forzabruta,Potencia Bruta,우격다짐,强行,強行
あまのじゃく,Contrary,Contestation,Umkehrung,Inversione,Respondón,심술꾸러기,唱反调,唱反調
きんちょうかん,Unnerve,Tension,Anspannung,Agitazione,Nerviosismo,긴장감,紧张感,緊張感
まけんき,Defiant,Acharné,Siegeswille,Agonismo,Competitivo,오기,不服输,不服輸
よわき,Defeatist,Défaitiste,Schwächling,Sconforto,Flaqueza,무기력,软弱,軟弱
のろわれボディ,Cursed Body,Corps Maudit,Tastfluch,Corpofunesto,Cuerpo Maldito,저주받은바디,诅咒之躯,詛咒之軀
いやしのこころ,Healer,Cœur Soin,Heilherz,Curacuore,Alma Cura,치유의마음,治愈之心,治癒之心
フレンドガード,Friend Guard,Garde Amie,Freundeshut,Amicoscudo,Compiescolta,프렌드가드,友情防守,友情防守
くだけるよろい,Weak Armor,Armurouillée,Bruchrüstung,Sottilguscio,Armadura Frágil,깨어진갑옷,碎裂铠甲,碎裂鎧甲
ヘヴィメタル,Heavy Metal,Heavy Metal,Schwermetall,Metalpesante,Metal Pesado,헤비메탈,重金属,重金屬
ライトメタル,Light Metal,Light Metal,Leichtmetall,Metalleggero,Metal Liviano,라이트메탈,轻金属,輕金屬
マルチスケイル,Multiscale,Multiécaille,Multischuppe,Multisquame,Compensación,멀티스케일,多重鳞片,多重鱗片
どくぼうそう,Toxic Boost,Rage Poison,Giftwahn,Velenimpeto,Ímpetu Tóxico,독폭주,中毒激升,中毒激升
ねつぼうそう,Flare Boost,Rage Brûlure,Hitzewahn,Bruciaimpeto,Ímpetu Ardiente,열폭주,受热激升,受熱激升
しゅうかく,Harvest,Récolte,Reiche Ernte,Coglibacche,Cosecha,수확,收获,收穫
テレパシー,Telepathy,Télépathe,Telepathie,Telepatia,Telepatía,텔레파시,心灵感应,心靈感應
ムラっけ,Moody,Lunatique,Gefühlswippe,Altalena,Veleta,변덕쟁이,心情不定,心情不定
ぼうじん,Overcoat,Envelocape,Wetterfest,Copricapo,Funda,방진,防尘,防塵
どくしゅ,Poison Touch,Toxitouche,Giftgriff,Velentocco,Toque Tóxico,독수,毒手,毒手
さいせいりょく,Regenerator,Régé-Force,Belebekraft,Rigenergia,Regeneración,재생력,再生力,再生力
はとむね,Big Pecks,Cœur de Coq,Brustbieter,Pettinfuori,Sacapecho,부풀린가슴,健壮胸肌,健壯胸肌
すなかき,Sand Rush,Baigne Sable,Sandscharrer,Remasabbia,Ímpetu Arena,모래헤치기,拨沙,撥沙
ミラクルスキン,Wonder Skin,Peau Miracle,Wunderhaut,Splendicute,Piel Milagro,미라클스킨,奇迹皮肤,奇跡皮膚
アナライズ,Analytic,Analyste,Analyse,Ponderazione,Cálculo Final,애널라이즈,分析,分析
イリュージョン,Illusion,Illusion,Trugbild,Illusione,Ilusión,일루전,幻觉,幻覺
かわりもの,Imposter,Imposteur,Doppelgänger,Sosia,Impostor,괴짜,变身者,變身者
すりぬけ,Infiltrator,Infiltration,Schwebedurch,Intrapasso,Allanamiento,틈새포착,穿透,穿透
ミイラ,Mummy,Momie,Mumie,Mummia,Momia,미라,木乃伊,木乃伊
じしんかじょう,Moxie,Impudence,Hochmut,Arroganza,Autoestima,자기과신,自信过度,自信過度
せいぎのこころ,Justified,Cœur Noble,Redlichkeit,Giustizia,Justiciero,정의의마음,正义之心,正義之心
びびり,Rattled,Phobique,Hasenfuß,Paura,Cobardía,주눅,胆怯,膽怯
マジックミラー,Magic Bounce,Miroir Magik,Magiespiegel,Magispecchio,Espejo Mágico,매직미러,魔法镜,魔法鏡
そうしょく,Sap Sipper,Herbivore,Vegetarier,Mangiaerba,Herbívoro,초식,食草,食草
いたずらごころ,Prankster,Farceur,Strolch,Burla,Bromista,짓궂은마음,恶作剧之心,惡作劇之心
すなのちから,Sand Force,Force Sable,Sandgewalt,Silicoforza,Poder Arena,모래의힘,沙之力,沙之力
てつのトゲ,Iron Barbs,Épine de Fer,Eisenstachel,Spineferrate,Punta Acero,철가시,铁刺,鐵刺
ダルマモード,Zen Mode,Mode Transe,Trance-Modus,Stato Zen,Modo Daruma,달마모드,达摩模式,達摩模式
しょうりのほし,Victory Star,Victorieux,Triumphstern,Vittorstella,Tinovictoria,승리의별,胜利之星,勝利之星
ターボブレイズ,Turboblaze,TurboBrasier,Turbobrand,Piroturbina,Turbollama,터보블레이즈,涡轮火焰,渦輪火焰
テラボルテージ,Teravolt,Téra-Voltage,Teravolt,Teravolt,Terravoltaje,테라볼티지,兆级电压,兆級電壓
アロマベール,Aroma Veil,Aroma-Voile,Dufthülle,Aromavelo,Velo Aroma,아로마베일,芳香幕,芳香幕
フラワーベール,Flower Veil,Flora-Voile,Blütenhülle,Fiorvelo,Velo Flor,플라워베일,花幕,花幕
ほおぶくろ,Cheek Pouch,Bajoues,Backentaschen,Guancegonfie,Carrillo,볼주머니,颊囊,頰囊
へんげんじざい,Protean,Protéen,Wandlungskunst,Mutatipo,Mutatipo,변환자재,变幻自如,變幻自如
ファーコート,Fur Coat,Toison Épaisse,Fellkleid,Foltopelo,Pelaje Recio,퍼코트,毛皮大衣,毛皮大衣
マジシャン,Magician,Magicien,Zauberer,Prestigiatore,Prestidigitador,매지션,魔术师,魔術師
ぼうだん,Bulletproof,Pare-Balles,Kugelsicher,Antiproiettile,Antibalas,방탄,防弹,防彈
かちき,Competitive,Battant,Unbeugsamkeit,Tenacia,Tenacidad,승기,好胜,好勝
がんじょうあご,Strong Jaw,Prognathe,Titankiefer,Ferromascella,Mandíbula Fuerte,옹골찬턱,强壮之颚,強壯之顎
フリーズスキン,Refrigerate,Peau Gelée,Frostschicht,Pellegelo,Piel Helada,프리즈스킨,冰冻皮肤,冰凍皮膚
スイートベール,Sweet Veil,Gluco-Voile,Zuckerhülle,Dolcevelo,Velo Dulce,스위트베일,甜幕,甜幕
バトルスイッチ,Stance Change,Déclic Tactique,Taktikwechsel,Accendilotta,Cambio Táctico,배틀스위치,战斗切换,戰鬥切換
はやてのつばさ,Gale Wings,Ailes Bourrasque,Orkanschwingen,Aliraffica,Alas Vendaval,질풍날개,疾风之翼,疾風之翼
メガランチャー,Mega Launcher,Méga Blaster,Megawumme,Megalancio,Megadisparador,메가런처,超级发射器,超級發射器
くさのけがわ,Grass Pelt,Toison Herbue,Pflanzenpelz,Peloderba,Manto Frondoso,풀모피,草之毛皮,草之毛皮
きょうせい,Symbiosis,Symbiose,Nutznießer,Simbiosi,Simbiosis,공생,共生,共生
かたいツメ,Tough Claws,Griffe Dure,Krallenwucht,Unghiedure,Garra Dura,단단한발톱,硬爪,硬爪
フェアリースキン,Pixilate,Peau Féérique,Feenschicht,Pellefolletto,Piel Feérica,페어리스킨,妖精皮肤,妖精皮膚
ぬめぬめ,Gooey,Poisseux,Viskosität,Viscosità,Baba,미끈미끈,黏滑,黏滑
スカイスキン,Aerilate,Peau Céleste,Zenithaut,Pellecielo,Piel Celeste,스카이스킨,飞行皮肤,飛行皮膚
おやこあい,Parental Bond,Amour Filial,Familienbande,Amorefiliale,Amor Filial,부자유친,亲子爱,親子愛
ダークオーラ,Dark Aura,Aura Ténébreuse,Dunkelaura,Auratetra,Aura Oscura,다크오라,暗黑气场,暗黑氣場
フェアリーオーラ,Fairy Aura,Aura Féérique,Feenaura,Aurafolletto,Aura Feérica,페어리오라,妖精气场,妖精氣場
オーラブレイク,Aura Break,Aura Inversée,Aura-Umkehr,Frangiaura,Rompeaura,오라브레이크,气场破坏,氣場破壞
はじまりのうみ,Primordial Sea,Mer Primaire,Urmeer,Mare Primordiale,Mar del Albor,시작의바다,始源之海,始源之海
おわりのだいち,Desolate Land,Terre Finale,Endland,Terra Estrema,Tierra del Ocaso,끝의대지,终结之地,終結之地
デルタストリーム,Delta Stream,Souffle Delta,Delta-Wind,Flusso Delta,Ráfaga Delta,델타스트림,德尔塔气流,德爾塔氣流
じきゅうりょく,Stamina,Endurance,Zähigkeit,Sopportazione,Firmeza,지구력,持久力,持久力
にげごし,Wimp Out,Escampette,Reißaus,Fuggifuggi,Huida,도망태세,跃跃欲逃,躍躍欲逃
ききかいひ,Emergency Exit,Repli Tactique,Rückzug,Passoindietro,Retirada,위기회피,危险回避,危險迴避
みずがため,Water Compaction,Sable Humide,Verklumpen,Idrorinforzo,Hidrorrefuerzo,꾸덕꾸덕굳기,遇水凝固,遇水凝固
ひとでなし,Merciless,Cruauté,Quälerei,Spietatezza,Ensañamiento,무도한행동,不仁不义,不仁不義
リミットシールド,Shields Down,Bouclier-Carcan,Limitschild,Scudosoglia,Escudo Limitado,리밋실드,界限盾壳,界限盾殼
はりこみ,Stakeout,Filature,Beschattung,Sorveglianza,Vigilante,잠복,蹲守,監視
すいほう,Water Bubble,Aquabulle,Wasserblase,Bolladacqua,Pompa,수포,水泡,水泡
はがねつかい,Steelworker,Expert Acier,Stahlprofi,Tempracciaio,Acero Templado,강철술사,钢能力者,鋼能力者
ぎゃくじょう,Berserk,Dracolère,Wutausbruch,Furore,Cólera,발끈,怒火冲天,怒火沖天
ゆきかき,Slush Rush,Chasse-Neige,Schneescharrer,Spalaneve,Quitanieves,눈치우기,拨雪,撥雪
えんかく,Long Reach,Longue Portée,Langstrecke,Distacco,Remoto,원격,远隔,遠隔
うるおいボイス,Liquid Voice,Hydrata-Son,Plätscherstimme,Idrovoce,Voz Fluida,촉촉보이스,湿润之声,濕潤之聲
ヒーリングシフト,Triage,Prioguérison,Heilwandel,Primacura,Primer Auxilio,힐링시프트,先行治疗,先行治療
エレキスキン,Galvanize,Peau Électrique,Elektrohaut,Pellelettro,Piel Eléctrica,일렉트릭스킨,电气皮肤,電氣皮膚
サーフテール,Surge Surfer,Surf Caudal,Surf-Schweif,Codasurf,Cola Surf,서핑테일,冲浪之尾,衝浪之尾
ぎょぐん,Schooling,Banc,Fischschwarm,Banco,Banco,어군,鱼群,魚群
ばけのかわ,Disguise,Fantômasque,Kostümspuk,Fantasmanto,Disfraz,탈,画皮,畫皮
きずなへんげ,Battle Bond,Synergie,Freundschaftsakt,Morfosintonia,Fuerte Afecto,유대변화,牵绊变身,牽絆變身
スワームチェンジ,Power Construct,Rassemblement,Scharwandel,Sciamefusione,Agrupamiento,스웜체인지,群聚变形,群聚變形
ふしょく,Corrosion,Corrosion,Korrosion,Corrosione,Corrosión,부식,腐蚀,腐蝕
ぜったいねむり,Comatose,Hypersommeil,Dauerschlaf,Sonno Assoluto,Letargo Perenne,절대안깸,绝对睡眠,絕對睡眠
じょおうのいげん,Queenly Majesty,Prestance Royale,Majestät,Regalità,Regia Presencia,여왕의위엄,女王的威严,女王的威嚴
とびだすなかみ,Innards Out,Expuls’Organes,Magenkrempler,Espellinterno,Revés,내용물분출,飞出的内在物,飛出的內在物
おどりこ,Dancer,Danseuse,Tänzer,Sincrodanza,Pareja de Baile,무희,舞者,舞者
バッテリー,Battery,Batterie,Batterie,Batteria,Batería,배터리,蓄电池,蓄電池
もふもふ,Fluffy,Boule de Poils,Flauschigkeit,Morbidone,Peluche,복슬복슬,毛茸茸,毛茸茸
ビビッドボディ,Dazzling,Corps Coloré,Buntkörper,Corposgargiante,Cuerpo Vívido,비비드바디,鲜艳之躯,鮮艷之軀
ソウルハート,Soul-Heart,Animacœur,Seelenherz,Cuoreanima,Coránima,소울하트,魂心,魂心
カーリーヘアー,Tangling Hair,Mèche Rebelle,Lockenkopf,Boccolidoro,Rizos Rebeldes,컬리헤어,卷发,捲髮
レシーバー,Receiver,Receveur,Receiver,Ricezione,Receptor,리시버,接球手,接球手
かがくのちから,Power of Alchemy,Osmose,Chemiekraft,Forza Chimica,Reacción Química,과학의힘,化学之力,化學之力
ビーストブースト,Beast Boost,Boost Chimère,Bestien-Boost,Ultraboost,Ultraimpulso,비스트부스트,异兽提升,異獸提升
ARシステム,RKS System,Système Alpha,Alpha-System,Sistema Primevo,Sistema Alfa,AR시스템,AR系统,AR系統
エレキメイカー,Electric Surge,Créa-Élec,Elektro-Erzeuger,Elettrogenesi,Electrogénesis,일렉트릭메이커,电气制造者,電氣製造者
サイコメイカー,Psychic Surge,Créa-Psy,Psycho-Erzeuger,Psicogenesi,Psicogénesis,사이코메이커,精神制造者,精神製造者
ミストメイカー,Misty Surge,Créa-Brume,Nebel-Erzeuger,Nebbiogenesi,Nebulogénesis,미스트메이커,薄雾制造者,薄霧製造者
グラスメイカー,Grassy Surge,Créa-Herbe,Gras-Erzeuger,Erbogenesi,Herbogénesis,그래스메이커,青草制造者,青草製造者
メタルプロテクト,Full Metal Body,Métallo-Garde,Metallprotektor,Metalprotezione,Guardia Metálica,메탈프로텍트,金属防护,金屬防護
ファントムガード,Shadow Shield,Spectro-Bouclier,Phantomschutz,Spettroguardia,Guardia Espectro,스펙터가드,幻影防守,幻影防守
プリズムアーマー,Prism Armor,Prisme-Armure,Prismarüstung,Scudoprisma,Armadura Prisma,프리즘아머,棱镜装甲,稜鏡裝甲
ブレインフォース,Neuroforce,Cérébro-Force,Zerebralmacht,Cerebroforza,Fuerza Cerebral,브레인포스,脑核之力,腦核之力
ふとうのけん,Intrepid Sword,Lame Indomptable,Kühnes Schwert,Spada Indomita,Espada Indómita,불요의검,不挠之剑,不撓之劍
ふくつのたて,Dauntless Shield,Égide Inflexible,Wackerer Schild,Scudo Saldo,Escudo Recio,불굴의방패,不屈之盾,不屈之盾
リベロ,Libero,Libéro,Libero,Libero,Líbero,리베로,自由者,自由者
たまひろい,Ball Fetch,Ramasse Ball,Apport,Raccattapalle,Recogebolas,볼줍기,捡球,撿球
わたげ,Cotton Down,Effilochage,Wollflaum,Lanugine,Pelusa,솜털,棉絮,棉絮
スクリューおびれ,Propeller Tail,Propulseur,Schraubflosse,Elicopinna,Hélice Caudal,스크루지느러미,螺旋尾鳍,螺旋尾鰭
ミラーアーマー,Mirror Armor,Armure Miroir,Spiegelrüstung,Blindospecchio,Coraza Reflejo,미러아머,镜甲,鏡甲
うのミサイル,Gulp Missile,Dégobage,Würggeschoss,Inghiottimissile,Tragamisil,그대로꿀꺽미사일,一口导弹,一口飛彈
