日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
こうかくレンズ,Wide Lens,Loupe,Großlinse,Grandelente,Lupa,광각렌즈,广角镜,廣角鏡
ちからのハチマキ,Muscle Band,Bandeau Muscle,Muskelband,Muscolbanda,Cinta Fuerte,힘의머리띠,力量头带,力量頭帶
きあいのタスキ,Focus Sash,Ceinture Force,Fokusgurt,Focalnastro,Banda Focus,기합의띠,气势披带,氣勢披帶
ものしりメガネ,Wise Glasses,Lunettes Sages*,Schlauglas,Saviocchiali,Gafas Especiales*,박식안경,博识眼镜,博識眼鏡
たつじんのおび,Expert Belt,Ceinture Pro,Expertengurt,Abilcintura,Cinta Xperto,달인의띠,达人带,達人帶
ひかりのねんど,Light Clay,Lumargile,Lichtlehm,Creta Luce,Refleluz,빛의점토,光之黏土,
いのちのたま,Life Orb,Orbe Vie,Leben-Orb,Assorbisfera,Vidasfera,생명의구슬,生命宝珠,生命寶珠
パワフルハーブ,Power Herb,Herbe Pouvoir*,Energiekraut,Vigorerba,Hierba Única,파워풀허브,强力香草,強力香草
どくどくだま,Toxic Orb,Orbe Toxique,Toxik-Orb,Tossicsfera,Toxisfera,맹독구슬,剧毒宝珠,劇毒寶珠
かえんだま,Flame Orb,Orbe Flamme,Heiß-Orb,Fiammosfera,Llamasfera,화염구슬,火焰宝珠,火焰寶珠
スピードパウダー,Quick Powder,Poudre Vite,Flottstaub,Velopolvere,Polvo Veloz,스피드파우더,速度粉,
フォーカスレンズ,Zoom Lens,Lentille Zoom,Zoomlinse,Zoomlente,Telescopio,포커스렌즈,对焦镜,對焦鏡
メトロノーム,Metronome,Métronome,Metronom,Plessimetro,Metrónomo,메트로놈,节拍器,節拍器
くろいてっきゅう,Iron Ball,Balle Fer,Eisenkugel,Ferropalla,Bola Férrea,검은철구,黑色铁球,黑色鐵球
こうこうのしっぽ,Lagging Tail,Ralentiqueue,Schwerschwf.,Rallentocoda,Cola Plúmbea,느림보꼬리,后攻之尾,後攻之尾
あかいいと,Destiny Knot,Nœud Destin,Fatumknoten,Destincomune,Lazo Destino,빨간실,红线,紅線
くろいヘドロ,Black Sludge,Boue Noire,Giftschleim,Fangopece,Lodo Negro,검은진흙,黑色污泥,
つめたいいわ,Icy Rock,Roche Glace,Eisbrocken,Rocciafredda,Roca Helada,차가운바위,冰冷岩石,
さらさらいわ,Smooth Rock,Roche Lisse,Glattbrocken,Roccialiscia,Roca Suave,보송보송바위,沙沙岩石,
あついいわ,Heat Rock,Roche Chaude,Heißbrocken,Rocciacalda,Roca Calor,뜨거운바위,炽热岩石,熾熱岩石
しめったいわ,Damp Rock,Roche Humide,Nassbrocken,Rocciaumida,Roca Lluvia,축축한바위,潮湿岩石,潮濕岩石
ねばりのかぎづめ,Grip Claw,Accro Griffe,Griffklaue,Presartigli,Garra Garfio,끈기갈고리손톱,紧缠钩爪,緊纏鈎爪
こだわりスカーフ,Choice Scarf,Mouchoir Choix*,Wahlschal,Stolascelta,Pañuelo Elegido*,구애스카프,讲究围巾,講究圍巾
くっつきバリ,Sticky Barb,Piquants,Klettdorn,Vischiopunta,Toxiestrella,끈적끈적바늘,附着针,附著針
パワーリスト,Power Bracer,Poignée Pouvoir*,Machtreif,Vigorcerchio,Brazal Recio,파워리스트,力量护腕,力量護腕
パワーベルト,Power Belt,Ceinture Pouvoir*,Machtgurt,Vigorfascia,Cinto Recio,파워벨트,力量腰带,力量腰帶
パワーレンズ,Power Lens,Lentille Pouvoir*,Machtlinse,Vigorlente,Lente Recia,파워렌즈,力量镜,力量鏡
パワーバンド,Power Band,Bandeau Pouvoir*,Machtband,Vigorbanda,Banda Recia,파워밴드,力量束带,力量束帶
パワーアンクル,Power Anklet,Chaîne Pouvoir*,Machtkette,Vigorgliera,Franja Recia,파워앵클릿,力量护踝,力量護踝
パワーウエイト,Power Weight,Poids Pouvoir*,Machtgewicht,Vigorpeso,Pesa Recia,파워웨이트,力量负重,力量負重
きれいなぬけがら,Shed Shell,Carapace Mue,Wechselhülle,Disfoguscio,Muda Concha,아름다운허물,美丽空壳,美麗空殼
おおきなねっこ,Big Root,Grosse Racine*,Großwurzel,Granradice,Raíz Grande,큰뿌리,大根茎,大根莖
こだわりメガネ,Choice Specs,Lunettes Choix*,Wahlglas,Lentiscelta,Gafas Elegid,구애안경,讲究眼镜,講究眼鏡
アクアカセット,Douse Drive,Module Aqua,Aquamodul,Idromodulo,HidroROM,아쿠아카세트,水流卡带,水流卡帶
イナズマカセット,Shock Drive,Module Choc,Blitzmodul,Voltmodulo,FulgoROM,번개카세트,闪电卡带,閃電卡帶
ブレイズカセット,Burn Drive,Module Pyro,Flammenmodul,Piromodulo,PiroROM,블레이즈카세트,火焰卡带,火焰卡帶
フリーズカセット,Chill Drive,Module Cryo,Gefriermodul,Gelomodulo,CrioROM,프리즈카세트,冰冻卡带,冰凍卡帶
きれいなウロコ,Prism Scale,Bel'Écaille,Schönschuppe,Squama Bella,Escama Bella,고운비늘,美丽鳞片,美麗鱗片
しんかのきせき,Eviolite,Évoluroc,Evolith,Evolcondensa,Mineral Evol,진화의 휘석,进化奇石,進化奇石
かるいし,Float Stone,Pierrallégée,Leichtstein,Pietralieve,Piedra Pómez,가벼운돌,轻石,輕石
ゴツゴツメット,Rocky Helmet,Casque Brut,Beulenhelm,Bitorzolelmo,Casco Dentado*,울퉁불퉁멧,凸凸头盔,凸凸頭盔
ふうせん,Air Balloon,Ballon,Luftballon,Palloncino,Globo Helio,풍선,气球,氣球
レッドカード,Red Card,Carton Rouge,Rote Karte,Cartelrosso,Tarjeta Roja,레드카드,红牌,紅牌
ねらいのまと,Ring Target,Point de Mire*,Zielscheibe,Facilsaglio,Blanco,겨냥표적,标靶,標靶
しめつけバンド,Binding Band,Bande Étreinte*,Klammerband,Legafascia,Banda Atadura*,조임밴드,紧绑束带,緊綁束帶
きゅうこん,Absorb Bulb,Bulbe,Knolle,Bulbo,Tubérculo,구근,球根,
じゅうでんち,Cell Battery,Pile,Akku,Ricaripila,Pila,충전지,充电电池,充電電池
だっしゅつボタン,Eject Button,Bouton Fuite,Fluchtknopf,Pulsantefuga,Botón Escape,탈출버튼,逃脱按键,逃脫按鍵
ほのおのジュエル,Fire Gem,Joyau Feu,Feuerjuwel,Bijoufuoco,G. Fuego,불꽃주얼,火之宝石,火之寶石
みずのジュエル,Water Gem,Joyau Eau,Wasserjuwel,Bijouacqua,G. Agua,물주얼,水之宝石,水之寶石
でんきのジュエル,Electric Gem,Joyau Électr,Elektrojuwel,Bijouelettro,G. Eléctrica,전기주얼,电之宝石,電之寶石
くさのジュエル,Grass Gem,Joyau Plante,Pflanzjuwel,Bijouerba,G. Planta,풀주얼,草之宝石,草之寶石
こおりのジュエル,Ice Gem,Joyau Glace,Eisjuwel,Bijoughiac.,G. Hielo,얼음주얼,冰之宝石,冰之寶石
かくとうジュエル,Fighting Gem,Joyau Combat,Kampfjuwel,Bijoulotta,G. Lucha,격투주얼,格斗宝石,格鬥寶石
どくのジュエル,Poison Gem,Joyau Poison,Giftjuwel,Bijouveleno,G. Veneno,독주얼,毒之宝石,毒之寶石
じめんのジュエル,Ground Gem,Joyau Sol,Bodenjuwel,Bijouterra,G. Tierra,땅주얼,地面宝石,地面寶石
ひこうのジュエル,Flying Gem,Joyau Vol,Flugjuwel,Bijouvolante,G. Voladora,비행주얼,飞行宝石,飛行寶石
エスパージュエル,Psychic Gem,Joyau Psy,Psychojuwel,Bijoupsico,G. Psíquica,에스퍼주얼,超能力宝石,超能力寶石
むしのジュエル,Bug Gem,Joyau Insect,Käferjuwel,Bijoucoleot.,G. Bicho,벌레주얼,虫之宝石,蟲之寶石
いわのジュエル,Rock Gem,Joyau Roche,Gesteinjuwel,Bijouroccia,G. Roca,바위주얼,岩石宝石,岩石寶石
ゴーストジュエル,Ghost Gem,Joyau Spectr,Geistjuwel,Bijouspettro,G. Fantasma,고스트주얼,幽灵宝石,幽靈寶石
ドラゴンジュエル,Dragon Gem,Joyau Dragon,Drakojuwel,Bijoudrago,G. Dragón,드래곤주얼,龙之宝石,龍之寶石
あくのジュエル,Dark Gem,Joyau Ténèbr,Unlichtjuwel,Bijoubuio,G. Siniestra,악주얼,恶之宝石,惡之寶石
はがねのジュエル,Steel Gem,Joyau Acier,Stahljuwel,Bijouacciaio,G. Acero,강철주얼,钢之宝石,鋼之寶石
ノーマルジュエル,Normal Gem,Joyau Normal,Normaljuwel,Bijounormale,Gema Normal*,노말주얼,一般宝石,一般寶石
じゃくてんほけん,Weakness Policy,Vulné-Assurance,Schwächenschutz,Vulneropolizza,Seguro Debilidad,약점보험,弱点保险,弱點保險
とつげきチョッキ,Assault Vest,Veste de Combat,Offensivweste,Corpetto Assalto,Chaleco Asalto,돌격조끼,突击背心,突擊背心
せいれいプレート,Pixie Plate,Plaque Pixie,Feentafel,Lastraspiritello,Tabla Duende,정령플레이트,妖精石板,
ホイップポップ,Whipped Dream,Chantibonbon,Sahnehäubchen,Dolcespuma,Dulce de Nata,휘핑팝,泡沫奶油,
においぶくろ,Sachet,Sachet Senteur,Duftbeutel,Bustina Aromi,Saquito Fragante,향기주머니,香袋,
ひかりごけ,Luminous Moss,Lichen Lumineux,Leuchtmoos,Muschioluce,Musgo Brillante,빛이끼,光苔,
ゆきだま,Snowball,Boule de Neige,Schneeball,Palla di Neve,Bola de Nieve,눈덩이,雪球,
ぼうじんゴーグル,Safety Goggles,Lunettes Filtre,Schutzbrille,Visierantisabbia,Gafa Protectora,방진고글,防尘护目镜,防塵護目鏡
ファイヤーメモリ,Fire Memory,ROM Feu,Feuer-Disc,ROM Fuoco,Disco Fuego,파이어메모리,火焰存储碟,火焰記憶碟
ウオーターメモリ,Water Memory,ROM Eau,Wasser-Disc,ROM Acqua,Disco Agua,워터메모리,清水存储碟,清水記憶碟
グラスメモリ,Grass Memory,ROM Plante,Pflanzen-Disc,ROM Erba,Disco Planta,그래스메모리,青草存储碟,青草記憶碟
エレクトロメモリ,Electric Memory,ROM Électrik,Elektro-Disc,ROM Elettro,Disco Eléctrico,일렉트릭메모리,电子存储碟,電子記憶碟
アイスメモリ,Ice Memory,ROM Glace,Eis-Disc,ROM Ghiaccio,Disco Hielo,아이메모리,冰雪存储碟,冰雪記憶碟
ファイトメモリ,Fighting Memory,ROM Combat,Kampf-Disc,ROM Lotta,Disco Lucha,파이팅메모리,战斗存储碟,戰鬥記憶碟
ポイズンメモリ,Poison Memory,ROM Poison,Gift-Disc,ROM Veleno,Disco Veneno,포이즌메모리,毒存储碟,毒記憶碟
グラウンドメモリ,Ground Memory,ROM Sol,Boden-Disc,ROM Terra,Disco Tierra,그라운드메모리,大地存储碟,大地記憶碟
フライングメモリ,Flying Memory,ROM Vol,Flug-Disc,ROM Volante,Disco Volador,플라잉메모리,飞翔存储碟,飛翔記憶碟
サイキックメモリ,Psychic Memory,ROM Psy,Psycho-Disc,ROM Psico,Disco Psíquico,사이킥메모리,精神存储碟,精神記憶碟
バグメモリ,Bug Memory,ROM Insecte,Käfer-Disc,ROM Coleottero,Disco Bicho,버그메모리,虫子存储碟,蟲子記憶碟
ロックメモリ,Rock Memory,ROM Roche,Gesteins-Disc,ROM Roccia,Disco Roca,락메모리,岩石存储碟,岩石記憶碟
ゴーストメモリ,Ghost Memory,ROM Spectre,Geister-Disc,ROM Spettro,Disco Fantasma,고스트메모리,幽灵存储碟,幽靈記憶碟
ドラゴンメモリ,Dragon Memory,ROM Dragon,Drachen-Disc,ROM Drago,Disco Dragón,드래곤메모리,龙存储碟,龍記憶碟
ダークメモリ,Dark Memory,ROM Ténèbres,Unlicht-Disc,ROM Buio,Disco Siniestro,다크모리,黑暗存储碟,黑暗記憶碟
スチールメモリ,Steel Memory,ROM Acier,Stahl-Disc,ROM Acciaio,Disco Acero,스틸메모리,钢铁存储碟,鋼鐵記憶碟
フェアリーメモリ,Fairy Memory,ROM Fée,Feen-Disc,ROM Folletto,Disco Hada,페어리메모리,妖精存储碟,妖精記憶碟
エレキシード,Electric Seed,Graine Électrik,Elektro-Samen,Elettroseme,Semilla Electro,일렉트릭시드,電氣种子,電氣種子
グラスシード,Grassy Seed,Graine Herbe,Gras-Samen,Erbaseme,Semilla Hierba,그래스시드,青草种子,青草種子
ミストシード,Misty Seed,Graine Brume,Nebel-Samen,Nebbiaseme,Semilla Bruma,미스트시드,薄雾种子,薄霧種子
サイコシード,Psychic Seed,Graine Psycho,Psycho-Samen,Psicoseme,Semilla Psique,사이코시드,精神种子,精神種子
グランドコート,Terrain Extender,Champ’Duit,Feldbeschichtung,Fissacampo,Cubresuelos,그라운드코트,大地膜,
ぼうごパット,Protective Pads,Pare-Effet,Schutzpolster,Smorzaurti,Paracontacto,방호패드,部位护具,部位護具
ルームサービス,Room Service,Chariot Distordu,Bizarroservice,Distorservizio,Servicio Raro,룸서비스,客房服务,客房服務
だっしゅつパック,Eject Pack,Sac Fuite,Fluchttasche,Zainofuga,Mochila Escape,탈출팩,避难背包,避難背包
あつぞこブーツ,Heavy-Duty Boots,Grosses Bottes,Plateauschuhe,Scarponi robusti,Botas Gruesas,통굽부츠,厚底靴,厚底靴
からぶりほけん,Blunder Policy,Assurance Échec,Fehlschlagschutz,Fiascopolizza,Seguro Fallo,허탕보험,打空保险,打空保險
のどスプレー,Throat Spray,Spray Gorge,Halsspray,Spray gola,Espray Bucal,목스프레이,爽喉喷雾,爽喉噴霧
ばんのうがさ,Utility Umbrella,Parapluie Solide,Allzweckschirm,Superombrello,Parasol Multiuso,만능우산,万能伞,萬能傘
くちたけん,Rusted Sword,Épée Rouillée,Rostiges Schwert,Spada rovinata,Espada Oxidada,녹슨검,腐朽的剑,腐朽的劍
くちたたて,Rusted Shield,Bouclier Rouillé,Rostiger Schild,Scudo rovinato,Escudo Oxidado,녹슨방패,腐朽的盾,腐朽的盾
いかさまダイス,Loaded Dice,Dé Pipé,Gezinkter Würfel,Dado truccato,Dado Trucado,속임수주사위,机变骰子,老千骰子
おんみつマント,Covert Cloak,Cape Obscure,Tarnumhang,Anonimanto,Capa Furtiva,은밀망토,密探斗篷,密探斗篷
クリアチャーム,Clear Amulet,Talisman Sain,Neutralschmuck,Ciondolochiaro,Amuleto Puro,클리어참,清净坠饰,清淨墜飾
とくせいガード,Ability Shield,Garde-Talent,Fähigkeitenschild,Scudo abilità,Escudo Habilidad,특성가드,特性护具,特性護具
パンチグローブ,Punching Glove,Gant de Boxe,Boxhandschuh,Guantone,Guante de Boxeo,펀치글러브,拳击手套,拳擊手套
ブーストエナジー,Booster Energy,Énergie Booster,Energiekapsel,Capsula energetica,Energía Potenciadora,부스트에너지,驱劲能量,驅勁能量
ものまねハーブ,Mirror Herb,Feuille Copieuse,Kopierkraut,Foglia carbone,Hierba Copia,흉내허브,模仿香草,模仿香草
だいこんごうだま,Adamant Crystal,Globe Adamant,Adamantkristall,Adamasferoide,Gran Diamansfera,큰금강옥,大金刚宝玉,大金剛寶玉
だいしらたま,Lustrous Globe,Globe Perlé,Weißkristall,Splendisferoide,Gran Lustresfera,큰백옥,大白宝玉,大白寶玉
だいはっきんだま,Griseous Core,Globe Platiné,Platinumkristall,Grigiosferoide,Gran Griseosfera,큰백금옥,大白金宝玉,大白金寶玉
ようせいのハネ,Fairy Feather,Plume Enchantée,Feendaune,Piuma fatata,Pluma Feérica,요정의깃털,妖精之羽,妖精之羽
いどのめん,Wellspring Mask,Masque du Puits,Brunnenmaske,Maschera Pozzo,Máscara Fuente,우물의가면,水井面具,水井面具
かまどのめん,Hearthflame Mask,Masque du Fourneau,Ofenmaske,Maschera Focolare,Máscara Horno,화덕의가면,火灶面具,火灶面具
いしずえのめん,Cornerstone Mask,Masque de la Pierre,Fundamentmaske,Maschera Fondamenta,Máscara Cimiento,주춧돌의가면,础石面具,礎石面具
モンスターボール,Poké Ball,Poké Ball,Pokéball,Poké Ball,Poké Ball,몬스터볼,精灵球,精靈球
