日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
たたきつける,Slam,Souplesse,Slam,Schianto,Atizar,힘껏치기,摔打,摔打
つるのムチ,Vine Whip,Fouet Lianes,Rankenhieb,Frustata,Látigo Cepa,덩굴채찍,藤鞭,藤鞭
ふみつけ,Stomp,Écrasement,Stampfer,Pestone,Pisotón,짓밟기,踩踏,踩踏
にどげり,Double Kick,Double Pied,Doppelkick,Doppiocalcio,Doble Patada,두번치기,二连踢,二連踢
メガトンキック,Mega Kick,Ultimawashi,Megakick,Megacalcio,Megapatada,메가톤킥,百万吨重踢,百萬噸重踢
とびげり,Jump Kick,Pied Sauté,Sprungkick,Calciosalto,Patada Salto,점프킥,飞踢,飛踢
まわしげり,Rolling Kick,Mawashi Geri,Fegekick,Calciorullo,Patada Giro,돌려차기,回旋踢,迴旋踢
すなかけ,Sand Attack,Jet de Sable,Sandwirbel,Turbosabbia,Ataque Arena,모래뿌리기,泼沙,潑沙
ずつき,Headbutt,Coup d’Boule,Kopfnuss,Bottintesta,Golpe Cabeza,박치기,头锤,頭錘
つのでつく,Horn Attack,Koud’Korne,Hornattacke,Incornata,Cornada,뿔찌르기,角撞,角撞
みだれづき,Fury Attack,Furie,Furienschlag,Furia,Ataque Furia,마구찌르기,乱击,亂擊
つのドリル,Horn Drill,Empal’Korne,Hornbohrer,Perforcorno,Perforador,뿔드릴,角钻,角鑽
たいあたり,Tackle,Charge,Tackle,Azione,Placaje,몸통박치기,撞击,撞擊
のしかかり,Body Slam,Plaquage,Bodyslam,Corposcontro,Golpe Cuerpo,누르기,泰山压顶,泰山壓頂
まきつく,Wrap,Ligotage,Wickel,Avvolgibotta,Constricción,김밥말이,紧束,緊束
とっしん,Take Down,Bélier,Bodycheck,Riduttore,Derribo,돌진,猛撞,猛撞
あばれる,Thrash,Mania,Fuchtler,Colpo,Golpe,난동부리기,大闹一番,大鬧一番
すてみタックル,Double-Edge,Damoclès,Risikotackle,Sdoppiatore,Doble Filo,이판사판태클,舍身冲撞,捨身衝撞
しっぽをふる,Tail Whip,Mimi-Queue,Rutenschlag,Colpocoda,Látigo,꼬리흔들기,摇尾巴,搖尾巴
どくばり,Poison Sting,Dard-Venin,Giftstachel,Velenospina,Picotazo Ven,독침,毒针,毒針
ダブルニードル,Twineedle,Double-Dard,Duonadel,Doppio Ago,Doble Ataque,더블니들,双针,雙針
ミサイルばり,Pin Missile,Dard-Nuée,Nadelrakete,Missilspillo,Pin Misil,바늘미사일,飞弹针,飛彈針
にらみつける,Leer,Groz’Yeux,Silberblick,Fulmisguardo,Malicioso,째려보기,瞪眼,瞪眼
かみつく,Bite,Morsure,Biss,Morso,Mordisco,물기,咬住,咬住
なきごえ,Growl,Rugissement,Heuler,Ruggito,Gruñido,울음소리,叫声,叫聲
ほえる,Roar,Hurlement,Brüller,Boato,Rugido,울부짖기,吼叫,吼叫
うたう,Sing,Berceuse,Gesang,Canto,Canto,노래하기,唱歌,唱歌
ちょうおんぱ,Supersonic,Ultrason,Superschall,Supersuono,Supersónico,초음파,超音波,超音波
ソニックブーム,Sonic Boom,Sonicboom,Ultraschall,Sonicboom,Bomba Sónica,소닉붐,音爆,音爆
かなしばり,Disable,Entrave,Aussetzer,Inibitore,Anulación,사슬묶기,定身法,定身法
ようかいえき,Acid,Acide,Säure,Acido,Ácido,용해액,溶解液,溶解液
ひのこ,Ember,Flammèche,Glut,Braciere,Ascuas,불꽃세례,火花,火花
かえんほうしゃ,Flamethrower,Lance-Flammes,Flammenwurf,Lanciafiamme,Lanzallamas,화염방사,喷射火焰,噴射火焰
しろいきり,Mist,Brume,Weißnebel,Nebbia,Neblina,흰안개,白雾,白霧
みずでっぽう,Water Gun,Pistolet à O,Aquaknarre,Pistolacqua,Pistola Agua,물대포,水枪,水槍
ハイドロポンプ,Hydro Pump,Hydrocanon,Hydropumpe,Idropompa,Hidrobomba,하이드로펌프,水炮,水炮
なみのり,Surf,Surf,Surfer,Surf,Surf,파도타기,冲浪,衝浪
れいとうビーム,Ice Beam,Laser Glace,Eisstrahl,Geloraggio,Rayo Hielo,냉동빔,冰冻光束,冰凍光束
ふぶき,Blizzard,Blizzard,Blizzard,Bora,Ventisca,눈보라,暴风雪,暴風雪
サイケこうせん,Psybeam,Rafale Psy,Psystrahl,Psicoraggio,Psicorrayo,환상빔,幻象光线,幻象光線
バブルこうせん,Bubble Beam,Bulles d’O,Blubbstrahl,Bollaraggio,Rayo Burbuja,거품광선,泡沫光线,泡沫光線
オーロラビーム,Aurora Beam,Onde Boréale,Aurorastrahl,Raggiaurora,Rayo Aurora,오로라빔,极光束,極光束
はかいこうせん,Hyper Beam,Ultralaser,Hyperstrahl,Iper Raggio,Hiperrayo,파괴광선,破坏光线,破壞光線
つつく,Peck,Picpic,Schnabel,Beccata,Picotazo,쪼기,啄,啄
ドリルくちばし,Drill Peck,Bec Vrille,Bohrschnabel,Perforbecco,Pico Taladro,회전부리,啄钻,啄鑽
じごくぐるま,Submission,Sacrifice,Überroller,Sottomissione,Sumisión,지옥의바퀴,地狱翻滚,地獄翻滾
けたぐり,Low Kick,Balayage,Fußkick,Colpo Basso,Patada Baja,안다리걸기,踢倒,踢倒
カウンター,Counter,Riposte,Konter,Contrattacco,Contraataque,카운터,双倍奉还,雙倍奉還
ちきゅうなげ,Seismic Toss,Frappe Atlas,Geowurf,Movim. Sismico,Mov. Sísmico,지구던지기,地球上投,地球上投
かいりき,Strength,Force,Stärke,Forza,Fuerza,괴력,怪力,怪力
すいとる,Absorb,Vol-Vie,Absorber,Assorbimento,Absorber,흡수,吸取,吸取
メガドレイン,Mega Drain,Méga-Sangsue,Megasauger,Megassorbimento,Megaagotar,메가드레인,超级吸取,超級吸取
やどりぎのタネ,Leech Seed,Vampigraine,Egelsamen,Parassiseme,Drenadoras,씨뿌리기,寄生种子,寄生種子
せいちょう,Growth,Croissance,Wachstum,Crescita,Desarrollo,성장,生长,生長
はっぱカッター,Razor Leaf,Tranch’Herbe,Rasierblatt,Foglielama,Hoja Afilada,잎날가르기,飞叶快刀,飛葉快刀
ソーラービーム,Solar Beam,Lance-Soleil,Solarstrahl,Solarraggio,Rayo Solar,솔라빔,日光束,日光束
どくのこな,Poison Powder,Poudre Toxik,Giftpuder,Velenpolvere,Polvo Veneno,독가루,毒粉,毒粉
しびれごな,Stun Spore,Para-Spore,Stachelspore,Paralizzante,Paralizador,저리가루,麻痹粉,麻痺粉
ねむりごな,Sleep Powder,Poudre Dodo,Schlafpuder,Sonnifero,Somnífero,수면가루,催眠粉,催眠粉
はなびらのまい,Petal Dance,Danse-Fleur,Blättertanz,Petalodanza,Danza Pétalo,꽃잎댄스,花瓣舞,花瓣舞
いとをはく,String Shot,Sécrétion,Fadenschuss,Millebave,Disparo Demora,실뿜기,吐丝,吐絲
りゅうのいかり,Dragon Rage,Draco-Rage,Drachenwut,Ira di Drago,Furia Dragón,용의분노,龙之怒,龍之怒
ほのおのうず,Fire Spin,Danse Flamme,Feuerwirbel,Turbofuoco,Giro Fuego,회오리불꽃,火焰旋涡,火焰旋渦
でんきショック,Thunder Shock,Éclair,Donnerschock,Tuonoshock,Impactrueno,전기쇼크,电击,電擊
10まんボルト,Thunderbolt,Tonnerre,Donnerblitz,Fulmine,Rayo,10만볼트,十万伏特,十萬伏特
でんじは,Thunder Wave,Cage-Éclair,Donnerwelle,Tuononda,Onda Trueno,전기자석파,电磁波,電磁波
かみなり,Thunder,Fatal-Foudre,Donner,Tuono,Trueno,번개,打雷,打雷
いわおとし,Rock Throw,Jet-Pierres,Steinwurf,Sassata,Lanzarrocas,돌떨구기,落石,落石
じしん,Earthquake,Séisme,Erdbeben,Terremoto,Terremoto,지진,地震,地震
じわれ,Fissure,Abîme,Geofissur,Abisso,Fisura,땅가르기,地裂,地裂
あなをほる,Dig,Tunnel,Schaufler,Fossa,Excavar,구멍파기,挖洞,挖洞
どくどく,Toxic,Toxik,Toxin,Tossina,Tóxico,맹독,剧毒,劇毒
ねんりき,Confusion,Choc Mental,Konfusion,Confusione,Confusión,염동력,念力,念力
サイコキネシス,Psychic,Psyko,Psychokinese,Psichico,Psíquico,사이코키네시스,精神强念,精神強念
さいみんじゅつ,Hypnosis,Hypnose,Hypnose,Ipnosi,Hipnosis,최면술,催眠术,催眠術
ヨガのポーズ,Meditate,Yoga,Meditation,Meditazione,Meditación,요가포즈,瑜伽姿势,瑜伽姿勢
こうそくいどう,Agility,Hâte,Agilität,Agilità,Agilidad,고속이동,高速移动,高速移動
でんこうせっか,Quick Attack,Vive-Attaque,Ruckzuckhieb,Attacco Rapido,Ataque Rápido,전광석화,电光一闪,電光一閃
いかり,Rage,Frénésie,Raserei,Ira,Furia,분노,愤怒,憤怒
テレポート,Teleport,Téléport,Teleport,Teletrasporto,Teletransporte,순간이동,瞬间移动,瞬間移動
ナイトヘッド,Night Shade,Ombre Nocturne,Nachtnebel,Ombra Notturna,Tinieblas,나이트헤드,黑夜魔影,黑夜魔影
ものまね,Mimic,Copie,Mimikry,Mimica,Mimético,흉내내기,模仿,模仿
いやなおと,Screech,Grincement,Kreideschrei,Stridio,Chirrido,싫은소리,刺耳声,刺耳聲
かげぶんしん,Double Team,Reflet,Doppelteam,Doppioteam,Doble Equipo,그림자분신,影子分身,影子分身
じこさいせい,Recover,Soin,Genesung,Ripresa,Recuperación,HP회복,自我再生,自我再生
かたくなる,Harden,Armure,Härtner,Rafforzatore,Fortaleza,단단해지기,变硬,變硬
ちいさくなる,Minimize,Lilliput,Komprimator,Minimizzato,Reducción,작아지기,变小,變小
えんまく,Smokescreen,Brouillard,Rauchwolke,Muro di Fumo,Pantalla de Humo,연막,烟幕,煙幕
あやしいひかり,Confuse Ray,Onde Folie,Konfustrahl,Stordiraggio,Rayo Confuso,이상한빛,奇异之光,奇異之光
からにこもる,Withdraw,Repli,Panzerschutz,Ritirata,Refugio,껍질에숨기,缩入壳中,縮入殼中
まるくなる,Defense Curl,Boul’Armure,Einigler,Ricciolscudo,Rizo Defensa,웅크리기,变圆,變圓
バリアー,Barrier,Bouclier,Barriere,Barriera,Barrera,배리어,屏障,屏障
ひかりのかべ,Light Screen,Mur Lumière,Lichtschild,Schermoluce,Pantalla de Luz,빛의장막,光墙,光牆
くろいきり,Haze,Buée Noire,Dunkelnebel,Nube,Niebla,흑안개,黑雾,黑霧
リフレクター,Reflect,Protection,Reflektor,Riflesso,Reflejo,리플렉터,反射壁,反射壁
きあいだめ,Focus Energy,Puissance,Energiefokus,Focalenergia,Foco Energía,기충전,聚气,聚氣
がまん,Bide,Patience,Geduld,Pazienza,Venganza,참기,忍耐,忍耐
ゆびをふる,Metronome,Métronome,Metronom,Metronomo,Metrónomo,손가락흔들기,挥指,揮指
オウムがえし,Mirror Move,Mimique,Spiegeltrick,Speculmossa,Mov. Espejo,따라하기,鹦鹉学舌,鸚鵡學舌
じばく,Self-Destruct,Destruction,Finale,Autodistruzione,Autodestrucción,자폭,自爆,自爆
タマゴばくだん,Egg Bomb,Bomb’Œuf,Eierbombe,Uovobomba,Bomba Huevo,알폭탄,炸蛋,炸蛋
したでなめる,Lick,Léchouille,Schlecker,Leccata,Lengüetazo,핥기,舌舔,舌舔
スモッグ,Smog,Purédpois,Smog,Smog,Polución,스모그,浊雾,濁霧
ヘドロこうげき,Sludge,Détritus,Schlammbad,Fango,Residuos,오물공격,污泥攻击,污泥攻擊
ホネこんぼう,Bone Club,Massd’Os,Knochenkeule,Ossoclava,Hueso Palo,뼈다귀치기,骨棒,骨棒
だいもんじ,Fire Blast,Déflagration,Feuersturm,Fuocobomba,Llamarada,불대문자,大字爆炎,大字爆炎
たきのぼり,Waterfall,Cascade,Kaskade,Cascata,Cascada,폭포오르기,攀瀑,攀瀑
からではさむ,Clamp,Claquoir,Schnapper,Tenaglia,Tenaza,껍질끼우기,贝壳夹击,貝殼夾擊
スピードスター,Swift,Météores,Sternschauer,Comete,Rapidez,스피드스타,高速星星,高速星星
ロケットずつき,Skull Bash,Coud’Krâne,Schädelwumme,Capocciata,Cabezazo,로케트박치기,火箭头锤,火箭頭錘
とげキャノン,Spike Cannon,Picanon,Dornkanone,Sparalance,Clavo Cañón,가시대포,尖刺加农炮,尖刺加農炮
からみつく,Constrict,Constriction,Umklammerung,Limitazione,Restricción,휘감기,缠绕,纏繞
ドわすれ,Amnesia,Amnésie,Amnesie,Amnesia,Amnesia,망각술,瞬间失忆,瞬間失憶
スプーンまげ,Kinesis,Télékinésie,Psykraft,Cinèsi,Kinético,숟가락휘기,折弯汤匙,折彎湯匙
タマゴうみ,Soft-Boiled,E-Coque,Weichei,Covauova,Amortiguador,알낳기,生蛋,生蛋
とびひざげり,High Jump Kick,Pied Voltige,Turmkick,Calcinvolo,Pat. Salto Alta,무릎차기,飞膝踢,飛膝踢
へびにらみ,Glare,Regard Médusant,Giftblick,Sguardo Feroce,Deslumbrar,뱀눈초리,大蛇瞪眼,大蛇瞪眼
ゆめくい,Dream Eater,Dévorêve,Traumfresser,Mangiasogni,Come Sueños,꿈먹기,食梦,食夢
どくガス,Poison Gas,Gaz Toxik,Giftwolke,Velenogas,Gas Venenoso,독가스,毒瓦斯,毒瓦斯
たまなげ,Barrage,Pilonnage,Stakkato,Attacco Pioggia,Presa,구슬던지기,投球,投球
きゅうけつ,Leech Life,Vampirisme,Blutsauger,Sanguisuga,Chupavidas,흡혈,吸血,吸血
あくまのキッス,Lovely Kiss,Grobisou,Todeskuss,Demonbacio,Beso Amoroso,악마의키스,恶魔之吻,惡魔之吻
ゴッドバード,Sky Attack,Piqué,Himmelsfeger,Aeroattacco,Ataque Aéreo,불새,神鸟猛击,神鳥猛擊
へんしん,Transform,Morphing,Wandler,Trasformazione,Transformación,변신,变身,變身
あわ,Bubble,Écume,Blubber,Bolla,Burbuja,거품,泡沫,泡沫
ピヨピヨパンチ,Dizzy Punch,Uppercut,Irrschlag,Stordipugno,Puño Mareo,잼잼펀치,迷昏拳,迷昏拳
キノコのほうし,Spore,Spore,Pilzspore,Spora,Espora,버섯포자,蘑菇孢子,蘑菇孢子
フラッシュ,Flash,Flash,Blitz,Flash,Destello,플래시,闪光,閃光
サイコウェーブ,Psywave,Vague Psy,Psywelle,Psiconda,Psicoonda,사이코웨이브,精神波,精神波
はねる,Splash,Trempette,Platscher,Splash,Salpicadura,튀어오르기,跃起,躍起
とける,Acid Armor,Acidarmure,Säurepanzer,Scudo Acido,Armadura Ácida,녹기,溶化,溶化
クラブハンマー,Crabhammer,Pince-Masse,Krabbhammer,Martellata,Martillazo,찝게햄머,蟹钳锤,蟹鉗錘
だいばくはつ,Explosion,Explosion,Explosion,Esplosione,Explosión,대폭발,大爆炸,大爆炸
みだれひっかき,Fury Swipes,Combo-Griffe,Kratzfurie,Sfuriate,Golpes Furia,마구할퀴기,乱抓,亂抓
ホネブーメラン,Bonemerang,Osmerang,Knochmerang,Ossomerang,Huesomerang,뼈다귀부메랑,骨头回力镖,骨頭回力鏢
ねむる,Rest,Repos,Erholung,Riposo,Descanso,잠자기,睡觉,睡覺
いわなだれ,Rock Slide,Éboulement,Steinhagel,Frana,Avalancha,스톤샤워,岩崩,岩崩
ひっさつまえば,Hyper Fang,Croc de Mort,Hyperzahn,Iperzanna,Hipercolmillo,필살앞니,必杀门牙,必殺門牙
かくばる,Sharpen,Affûtage,Schärfer,Affilatore,Afilar,각지기,棱角化,稜角化
テクスチャー,Conversion,Conversion,Umwandlung,Conversione,Conversión,텍스처,纹理,紋理
トライアタック,Tri Attack,Triplattaque,Triplette,Tripletta,Triataque,트라이어택,三重攻击,三重攻擊
いかりのまえば,Super Fang,Croc Fatal,Superzahn,Superzanna,Superdiente,분노의앞니,愤怒门牙,憤怒門牙
きりさく,Slash,Tranche,Schlitzer,Lacerazione,Cuchillada,베어가르기,劈开,劈開
みがわり,Substitute,Clonage,Delegator,Sostituto,Sustituto,대타출동,替身,替身
わるあがき,Struggle,Lutte,Verzweifler,Scontro,Forcejeo,발버둥,挣扎,掙扎
スケッチ,Sketch,Gribouille,Nachahmer,Schizzo,Esquema,스케치,写生,寫生
トリプルキック,Triple Kick,Triple Pied,Dreifachkick,Triplocalcio,Triple Patada,트리플킥,三连踢,三連踢
どろぼう,Thief,Larcin,Raub,Furto,Ladrón,도둑질,小偷,小偷
クモのす,Spider Web,Toile,Spinnennetz,Ragnatela,Telaraña,거미집,蛛网,蛛網
こころのめ,Mind Reader,Lire-Esprit,Willensleser,Leggimente,Telépata,마음의눈,心之眼,心之眼
あくむ,Nightmare,Cauchemar,Nachtmahr,Incubo,Pesadilla,악몽,恶梦,惡夢
かえんぐるま,Flame Wheel,Roue de Feu,Flammenrad,Ruotafuoco,Rueda Fuego,화염자동차,火焰轮,火焰輪
いびき,Snore,Ronflement,Schnarcher,Russare,Ronquido,코골기,打鼾,打鼾
のろい,Curse,Malédiction,Fluch,Maledizione,Maldición,저주,诅咒,詛咒
じたばた,Flail,Fléau,Dreschflegel,Flagello,Azote,바둥바둥,抓狂,抓狂
テクスチャー2,Conversion 2,Conversion 2,Umwandlung2,Conversione2,Conversión2,텍스처2,纹理2,紋理2
エアロブラスト,Aeroblast,Aéroblast,Luftstoß,Aerocolpo,Aerochorro,에어로블라스트,气旋攻击,氣旋攻擊
わたほうし,Cotton Spore,Spore Coton,Baumwollsaat,Cottonspora,Esporagodón,목화포자,棉孢子,棉孢子
きしかいせい,Reversal,Contre,Gegenschlag,Contropiede,Inversión,기사회생,起死回生,起死回生
うらみ,Spite,Dépit,Groll,Dispetto,Rencor,원한,怨恨,怨恨
こなゆき,Powder Snow,Poudreuse,Pulverschnee,Polneve,Nieve Polvo,눈싸라기,细雪,細雪
まもる,Protect,Abri,Schutzschild,Protezione,Protección,방어,守住,守住
マッハパンチ,Mach Punch,Mach Punch,Tempohieb,Pugnorapido,Ultrapuño,마하펀치,音速拳,音速拳
こわいかお,Scary Face,Grimace,Grimasse,Visotruce,Cara Susto,겁나는얼굴,鬼面,鬼面
だましうち,Feint Attack,Feinte,Finte,Finta,Finta,속여때리기,出奇一击,出奇一擊
てんしのキッス,Sweet Kiss,Doux Baiser,Bitterkuss,Dolcebacio,Beso Dulce,천사의키스,天使之吻,天使之吻
はらだいこ,Belly Drum,Cognobidon,Bauchtrommel,Panciamburo,Tambor,배북,腹鼓,腹鼓
ヘドロばくだん,Sludge Bomb,Bomb-Beurk,Matschbombe,Fangobomba,Bomba Lodo,오물폭탄,污泥炸弹,污泥炸彈
どろかけ,Mud-Slap,Coud’Boue,Lehmschelle,Fangosberla,Bofetón Lodo,진흙뿌리기,掷泥,擲泥
オクタンほう,Octazooka,Octazooka,Octazooka,Octazooka,Pulpocañón,대포무노포,章鱼桶炮,章魚桶炮
まきびし,Spikes,Picots,Stachler,Punte,Púas,압정뿌리기,撒菱,撒菱
でんじほう,Zap Cannon,Élecanon,Blitzkanone,Falcecannone,Electrocañón,전자포,电磁炮,電磁炮
みやぶる,Foresight,Clairvoyance,Gesichte,Preveggenza,Profecía,꿰뚫어보기,识破,識破
みちづれ,Destiny Bond,Prélèvem. Destin,Abgangsbund,Destinobbligato,Mismo Destino,길동무,同命,同命
ほろびのうた,Perish Song,Requiem,Abgesang,Ultimocanto,Canto Mortal,멸망의노래,灭亡之歌,滅亡之歌
こごえるかぜ,Icy Wind,Vent Glace,Eissturm,Ventogelato,Viento Hielo,얼다바람,冰冻之风,冰凍之風
みきり,Detect,Détection,Scanner,Individua,Detección,판별,看穿,看穿
ボーンラッシュ,Bone Rush,Charge-Os,Knochenhatz,Ossoraffica,Ataque Óseo,본러쉬,骨棒乱打,骨棒亂打
ロックオン,Lock-On,Verrouillage,Zielschuss,Localizza,Fijar Blanco,록온,锁定,鎖定
げきりん,Outrage,Colère,Wutanfall,Oltraggio,Enfado,역린,逆鳞,逆鱗
すなあらし,Sandstorm,Tempête de Sable,Sandsturm,Terrempesta,Tormenta Arena,모래바람,沙暴,沙暴
ギガドレイン,Giga Drain,Giga-Sangsue,Gigasauger,Gigassorbimento,Gigadrenado,기가드레인,终极吸取,終極吸取
こらえる,Endure,Ténacité,Ausdauer,Resistenza,Aguante,버티기,挺住,挺住
あまえる,Charm,Charme,Charme,Fascino,Encanto,애교부리기,撒娇,撒嬌
ころがる,Rollout,Roulade,Walzer,Rotolamento,Desenrollar,구르기,滚动,滾動
みねうち,False Swipe,Faux-Chage,Trugschlag,Falsofinale,Falsotortazo,칼등치기,点到为止,點到為止
いばる,Swagger,Vantardise,Angeberei,Bullo,Contoneo,뽐내기,虚张声势,虛張聲勢
ミルクのみ,Milk Drink,Lait à Boire,Milchgetränk,Buonlatte,Batido,우유마시기,喝牛奶,喝牛奶
スパーク,Spark,Étincelle,Funkensprung,Scintilla,Chispa,스파크,电光,電光
れんぞくぎり,Fury Cutter,Taillade,Zornklinge,Tagliofuria,Corte Furia,연속자르기,连斩,連斬
はがねのつばさ,Steel Wing,Aile d’Acier,Stahlflügel,Alacciaio,Ala de Acero,강철날개,钢翼,鋼翼
くろいまなざし,Mean Look,Regard Noir,Horrorblick,Malosguardo,Mal de Ojo,검은눈빛,黑色目光,黑色目光
メロメロ,Attract,Attraction,Anziehung,Attrazione,Atracción,헤롱헤롱,迷人,迷人
ねごと,Sleep Talk,Blabla Dodo,Schlafrede,Sonnolalia,Sonámbulo,잠꼬대,梦话,夢話
いやしのすず,Heal Bell,Glas de Soin,Vitalglocke,Rintoccasana,Campana Cura,치료방울,治愈铃声,治癒鈴聲
おんがえし,Return,Retour,Rückkehr,Ritorno,Retribución,은혜갚기,报恩,報恩
プレゼント,Present,Cadeau,Geschenk,Regalino,Presente,프레젠트,礼物,禮物
やつあたり,Frustration,Frustration,Frustration,Frustrazione,Frustración,화풀이,迁怒,遷怒
しんぴのまもり,Safeguard,Rune Protect,Bodyguard,Salvaguardia,Velo Sagrado,신비의부적,神秘守护,神秘守護
いたみわけ,Pain Split,Balance,Leidteiler,Malcomune,Divide Dolor,아픔나누기,分担痛楚,分擔痛楚
せいなるほのお,Sacred Fire,Feu Sacré,Läuterfeuer,Magifuoco,Fuego Sagrado,성스러운불꽃,神圣之火,神聖之火
マグニチュード,Magnitude,Ampleur,Intensität,Magnitudo,Magnitud,매그니튜드,震级,震級
ばくれつパンチ,Dynamic Punch,Dynamopoing,Wuchtschlag,Dinamipugno,Puño Dinámico,폭발펀치,爆裂拳,爆裂拳
メガホーン,Megahorn,Mégacorne,Vielender,Megacorno,Megacuerno,메가폰,超级角击,超級角擊
りゅうのいぶき,Dragon Breath,Dracosouffle,Feuerodem,Dragospiro,Dragoaliento,용의숨결,龙息,龍息
バトンタッチ,Baton Pass,Relais,Stafette,Staffetta,Relevo,바톤터치,接棒,接棒
アンコール,Encore,Encore,Zugabe,Ripeti,Otra Vez,앵콜,再来一次,再來一次
おいうち,Pursuit,Poursuite,Verfolgung,Inseguimento,Persecución,따라가때리기,追打,追打
こうそくスピン,Rapid Spin,Tour Rapide,Turbodreher,Rapigiro,Giro Rápido,고속스핀,高速旋转,高速旋轉
あまいかおり,Sweet Scent,Doux Parfum,Lockduft,Profumino,Dulce Aroma,달콤한향기,甜甜香气,甜甜香氣
アイアンテール,Iron Tail,Queue de Fer,Eisenschweif,Codacciaio,Cola Férrea,아이언테일,铁尾,鐵尾
メタルクロー,Metal Claw,Griffe Acier,Metallklaue,Ferrartigli,Garra Metal,메탈크로우,金属爪,金屬爪
あてみなげ,Vital Throw,Corps Perdu,Überwurf,Vitaltiro,Tiro Vital,받아던지기,借力摔,借力摔
あさのひざし,Morning Sun,Aurore,Morgengrauen,Mattindoro,Sol Matinal,아침햇살,晨光,晨光
こうごうせい,Synthesis,Synthèse,Synthese,Sintesi,Síntesis,광합성,光合作用,光合作用
つきのひかり,Moonlight,Rayon Lune,Mondschein,Lucelunare,Luz Lunar,달의불빛,月光,月光
めざめるパワー,Hidden Power,Puissance Cachée,Kraftreserve,Introforza,Poder Oculto,잠재파워,觉醒力量,覺醒力量
クロスチョップ,Cross Chop,Coup-Croix,Kreuzhieb,Incrocolpo,Tajo Cruzado,크로스촙,十字劈,十字劈
たつまき,Twister,Ouragan,Windhose,Tornado,Ciclón,회오리,龙卷风,龍捲風
あまごい,Rain Dance,Danse Pluie,Regentanz,Pioggiadanza,Danza Lluvia,비바라기,求雨,求雨
にほんばれ,Sunny Day,Zénith,Sonnentag,Giornodisole,Día Soleado,쾌청,大晴天,大晴天
かみくだく,Crunch,Mâchouille,Knirscher,Sgranocchio,Triturar,깨물어부수기,咬碎,咬碎
ミラーコート,Mirror Coat,Voile Miroir,Spiegelcape,Specchiovelo,Manto Espejo,미러코트,镜面反射,鏡面反射
じこあんじ,Psych Up,Boost,Psycho-Plus,Psicamisù,Más Psique,자기암시,自我暗示,自我暗示
しんそく,Extreme Speed,Vitesse Extrême,Turbotempo,Extrarapido,Veloc. Extrema,신속,神速,神速
げんしのちから,Ancient Power,Pouvoir Antique,Antik-Kraft,Forzantica,Poder Pasado,원시의힘,原始之力,原始之力
シャドーボール,Shadow Ball,Ball’Ombre,Spukball,Palla Ombra,Bola Sombra,섀도볼,暗影球,暗影球
みらいよち,Future Sight,Prescience,Seher,Divinazione,Premonición,미래예지,预知未来,預知未來
いわくだき,Rock Smash,Éclate-Roc,Zertrümmerer,Spaccaroccia,Golpe Roca,바위깨기,碎岩,碎岩
